Top 500,Item Code,Item Description,ITEM UPC
104,459627,PB MX RCH N MST FUDGE BRWN,051500766422
105,445501,RONZONI PENNE RIGATE,071300000762
106,15373,BC TRDTL FDG BRWN FAM,016000197268
107,370,MRS SMITH CHERRY PIE,027700548755
108,461942,HEINZ HOMESTYLE BROWN GRAVY,013000798006
109,70204,BIRDSEYE CHOPPED SPINACH,014500001900
110,73250,CELESTE SAUS DELUXE PIZZA,019600045809
111,452122,DH CLASSIC YELLOW CAKE #41020,644209410200
112,456183,COS SLD WHITE IN OIL,048000013651
113,44888,TC LNG LAST ODOR CONTRO 10710,070230107107
114,473048,ARZ A-PLMR 0CAL HLF&HLF CN,613008730499
115,445179,MRCHN CHICKEN RAMEN,041789006210
116,3183,BIRDS EYE GREEN BEANS,014500011015
117,222476,BARILLA PENNE RIGATI,076808280739
118,39244,MRCHN RAMEN CHICKEN,041789002113
119,44889,TIDY CAT IMMEDIATE ODOR CNTRL,070230107701
120,10351,FRIENDLY PREM VANILLA,029839005062
121,241816,MAX HSE ORIGINAL,043000029220
122,4504,NISSIN TOP RAMEN CHICKEN,070662010037
123,437573,BC TRDTL FDG BRWN FAM,016000197268
124,75164,BREYERS V/C/S ICE CREAM,077567254269
125,74820,COOL WHIP EXTRA CREAMY,043000002742
126,484264,ARIZONA DIET GREEN TEA,613008717810
127,4561,CUP O NOODLS-BEEF #3001,070662030011
128,498765,EIGHT O'CLOCK KCUP ORIGINAL,099555082050
129,452304,PROG ITAL BRD CRMB89107,041196891072
130,62075,GRN GNT SWEET PEAS,020000103815
131,50451,QNUSS BATH TISSUE 12 DBL ROLL,042000963657
132,412048,GM CHEERIOS,016000275263
133,444568,CUP O NOODLE FMLY PK CHKN,070662035030
134,40043,P PAN CREAMY P-BTR,045300005492
135,449953,GOLD MEDAL UNBLEACHED FLOUR,016000196100
136,426451,MRCHN CHICKEN INST LUNCH 6PK,041789001314
137,417004,PLLSBRY ALL PURPOSE FLOUR,051500204412
138,433722,HNZ CHICKEN GRAVY-7982,013000798204
139,401351,PILLS CRANBERRY BREAD,051500794203
140,474734,POST HBO HONEY ROASTED,884912014245
141,470154,PB YELLOW CAKE MIX,051500602355
142,449356,DOMINO DARK BROWN,049200056004
143,61269,GRN GNT CUT GREEN BEANS,020000111971
144,430642,ARNLD PLMR LEMON TEA AMBR,613008732240
145,449360,DOMINO LIGHT BROWN,049200056752
146,449364,DOMINO 10X/CONFECT SUGAR,049200051009
147,49382,DOMINO POLY BAGS CONF SUGAR,049200051757
148,91015,TINAS RED HOT BEEF BURRITO,079606010157
149,412036,HAW PNCH FRUIT JUICY RED,014800646085
150,461666,GREEN GIANT CREAM CORN,020000105918
151,405482,PROG RD KDNY BNS #2022,041196020229
152,405158,FR RNLDI PLAIN SPAG SCE,077644301329
153,9627,PB MX RCH N MST FUDGE BRWN,051500766422
154,465092,OCN SPRAY WHOLE CRNBERRY SCE,031200016034
155,241789,MAX HSE ORIGINAL,043000029220
156,408709,ARZNA DT GRN TEA 12PK CN,613008721831
157,415449,RONZONI ROTINI,071300000755
158,49380,DOMINO GOLDEN BROWN POLY BAGS,049200057803
159,404759,RONZONI ROTELLE # 124,071300001240
160,95228,AUNT JEMIMA HMESTYL WFFLS 10CT,019600052005
161,93367,FOLGER CAF CAN CLASSIC ROAST,025500003672
162,224888,BARILLA RIGATONI,076808502947
163,495369,CLRX LQ BLCH REG CONC,044600307695
164,405474,PROG CANNELLINI BN2032,041196020328
165,405233,RIENZI WHITE CLAM SAUCE,075717952089
166,405646,BARILLA WAVY LASAGNE,895059000619
167,71940,BANQUET PIE VEG W/CHIC,031000101015
168,409403,RONZONI MANICOTTI,071300000908
169,74060,THREE LAYER CAKE - COCONUT,051000076250
170,405448,PROG CHICKEN RICE SOUP,041196010008
171,454066,R NURSERY WATER,071091000071
172,433744,CAMPBELLS TURKEY GRAVY,051000025548
173,26450,MRCHN CHX NDLE RMN SPREME 12P,041789002311
174,447085,BARILLA ELBOWS,076808516135
175,439528,CLLGINN CHKN BROTH-RESEALABLE,024000305705
176,492881,STOVE TOP CHICKEN STUFFING,043000285213
177,44852,FRESH STEP CAT LITTER 7LB,044600020013
178,431042,MRCL 8RLL CORR DECD TWL,043032027164
179,493962,HEINZ TOMATO KETCHUP,013000004664
180,433715,HNZ AU JUS HOMESTYLE GRAVY,013000798501
181,73281,CELESTE 4 CHS ZESTY PIZZA,019600044000
182,439000,PROG SPLIT PEA/HAM SOUP,041196010954
183,73959,EGGO WAFFLES BUTTERMILK,038000402906
184,445348,A&H BAKING SODA,033200011101
185,44898,TIDY CAT ANTI-BAC ODOR CONTRO,070230102706
186,464764,DOLE PINEAPPLE JUICE 818,038900008185
187,492463,CAPRI SUN FRUIT PUNCH,087684001073
188,75169,BREYERS TAKE2 VANILLA/CHOC IC,077567254252
189,27676,MARSHMALLOW FLUFF PLASTIC,052600112164
190,70686,GRN GIANT BROCCOLI IN CHEESE,020000001807
191,483367,FOLGER CAF CAN CLASSIC ROAST,025500003672
192,73103,HOT PKT PIZZA PEPPERONI,043695071115
193,91025,TINAS BEEF & BEAN BURRITO,079606010256
194,10284,HOOD NATURAL VANILLA BEAN IC,044100241420
195,74836,COOL WHIP LIGHT TOPPING,043000009505
196,75163,BREYERS MINT CHOC CHIP IC,077567254245
197,469674,BB CHNK LIGHT TUNA-WTR,086600000206
198,439243,MARUCHN SOUP SHRIMP FLVR I,041789001253
199,483129,SCOTT BATH TISSUE 4PK WH,054000101830
200,73101,HOT PKT HAM AND CHEESE,043695071122
201,87185,XTR LQ 2X BONUS MTN RN,094514419656
202,465035,MOTTS APPLE SCE ORIG 6PK,014800000108
203,446792,FLPPO BRIO X-VIR 3LTR OLV OIL,041736010116
204,439512,COLLEGE INN L/S CHICK BROTH,024000322009
205,66082,ORE IDA TATER TOTS,013120000829
206,449380,DOMINO GOLDEN BROWN POLY BAGS,049200057803
207,404027,BARILLA SPAGHETTI,076808280081
208,61241,DELM CUT GREEN BEANS,024000013938
209,404969,STV TOP TURKEY STUFFING,043000285558
210,459486,HELLMANN'S REAL MAYO,048001213487
211,73811,TGIF MOZZARELLA STICKS,046704068502
212,61451,DELM SLICED CARROTS,024000014881
213,409495,HELLMNN REAL MAYO,048001213388
214,74584,TRKY HILL VANILLA ICE CRM,020735110010
215,4696,PRINCE ELBOW #25,041129010150
216,14939,PILLS PUMPKIN QUICK BREAD,051500795903
217,436729,BRAWNY TWL 8RL WHITE 46CT,042000445290
218,219473,TWNK MP 13.58 OZ. 10 CT.,888109110109
219,74064,THREE LAYER CAKE - CHOCOLATE FUDGE,051000076236
220,242337,JIF CRMY PEANUT BTTR,051500255162
221,95526,STOUFFERS PEPPERONI PIZZA,013800151735
222,407709,PILLS CINN SWIRL QUICK BREAD,051500730508
223,441069,DMND CRYSTL SALT-IODIZED,013600001063
224,405423,PROG HRTY CHKN & WLD RICE,041196910360
225,451058,CUSTOM CHEERIOS BOX,016000275287
226,433718,HNZ HOMESTYLE GRAVY PORK,013000798907
227,443044,ARIZ A-PLMR 0CAL HLF&HLF,613008730444
228,70716,GRN GIANT BRUSSEL SPROUTS,020000001401
229,461180,ARGO CORN STARCH,761720071045
230,475744,POST HBO ALMOND,884912014252
231,70728,GRN GIANT NIBLET CORN BTR SC,020000001104
232,79778,TIDE LQ HE 2X ORIG 32LD,037000088752
233,461271,GRN GNT FR GREEN BEANS,020000111964
234,73260,CELESTE SAUSAGE PEPPERONI,019600046202
235,23223,CARN EVAPORATED MILK,050000010110
236,461671,DELM WHL KERNEL CORN 16302,024000163022
237,33722,HNZ CHICKEN GRAVY-7982,013000798204
238,439086,CAMP CRM OF MUSHRM SOUP-1261,051000012616
239,25264,MC CKICKEN POT PIE,021131501242
240,484984,ARIZONA SWEET TEA-DOT,613008719791
241,64764,DOLE PINEAPPLE JUICE 818,038900008185
242,73264,BAGELBITE CHEESE PEPPERONI,070085060121
243,429065,COLLEGE INN L/S FF CHICK BROTH,024000302964
244,86127,SCOTT BATH TISSUE 12PK WH,054000100604
245,460043,P PAN CREAMY P-BTR,045300005492
246,437989,PROG 99% FF CHICKEN NOODLE,041196911831
247,452474,DH CLASSIC DEVILS FOOD CAKE,644209410408
248,73973,EGGO WAFFLES BLUEBERRY,038000403200
249,488768,EIGHT O'CLOCK KCUP COLUMBIAN,099555082074
250,405171,FR RNLDI MEAT SPAG SCE,077644302326
251,438986,PROG BEEF BARLEY,041196910940
252,63477,OS CRANBERRY FLEX PLASTIC,031200200075
253,75167,BREYERS COOKIES & CREAM IC,077567254504
254,45348,A&H BAKING SODA,033200011101
255,9486,HELLMANN'S REAL MAYO,048001213487
256,438996,PROG MAN CLM CHOWDER,041196011111
257,60881,STOVE TOP CHICKEN STUFFING,043000285213
258,447460,EASY-MAC CUPS-ORIGINAL,021000010875
259,75264,BREYERS FRENCH VANILLA IC,077567254382
260,406211,ADIRONDACK LEMON/LIME SELTZER,071698021134
261,29622,PRINGLES - ORIGINAL,038000844966
262,449828,GOLD MEDAL ALL PURPOSE FLOUR,016000107106
263,61271,GRN GNT FR GREEN BEANS,020000111964
264,404954,FR RINALDI SPAG SC MARINA,077644304320
265,73382,PEPP FARM GARLIC BREAD,051000075468
266,449726,CAP'N CRUNCH RED BOX 14OZ,030000065310
267,404754,RONZONI LINGUINE #17,071300000175
268,73380,EGGO WAFFLES CHOC CHIP,038000405006
269,38292,TOTINO PIZZ RLS PERRRN 15CT,042800005830
270,405451,PROG LENTIL SOUP,041196010220
271,222260,BARILLA ZITI,076808280746
272,423227,CARN EVAP SKIM MILK-LITE,050000160112
273,61978,LITE HALF/HALF ICE TEA/LEMONA,613008720858
274,457532,STRKST CHUNK WHITE-WTR,080000006714
275,73802,TGIF POT SKIN CHDR BACN,046704068403
276,462766,HUNTS TOM SAUCE,027000390238
277,430638,ARNLD PLMR AMBER BTL,613008732264
278,6092,OCN SPRAY WHOLE CRNBERRY SCE,031200016034
279,452446,DH CLSC BUTTR GLDN CKE #41140,644209411405
280,467616,DD COFFEE GRND ORIGINAL BLEND,881334000467
281,73244,CELESTE   SAUSAGE PIZZA,019600045700
282,486283,CRISCO VEGETABLE OIL,051500253625
283,69286,ORE IDA GOLDEN CRINKLES,013120002861
284,49387,DOMINO GRANULATED SUGAR 2 LB,049200043509
285,14146,HEINZ HOMESTYLE BROWN GRAVY,013000798006
286,222382,BARILLA ROTINI,076808280982
287,444852,FRESH STEP CAT LITTER 7LB,044600020013
288,448521,GRN MTN BRKFST BLND KCUP,099555085204
289,10273,HOOD CLASSIC TRIO ICE CREAM,044100239731
290,39003,PROG NE CLAM CHOWDER,041196011128
291,85215,AUNT JEMIMA BTTRMLK WFFLS 10CT,019600052104
292,427319,"MCK CINNAMON, GROUND",052100004389
293,401889,BEECHNUT STAGE2 CHIQ BANANAS,052200005071
294,452511,PREGO TRADITIONAL SAUCE,051000025111
295,432195,MRCHN RAMEN BEEF,041789002120
296,79672,ARIZ GRN TEA 71512,613008715120
297,33446,HEINZ EASY SQUEEZE KETCHUP 20Z,013000006408
298,24482,COS SOLID WHT TUNA/WATER,048000000958
299,75063,KTCHN BASICS BEEF STOCK,611443340112
300,494754,BC SUPERMOIST CAKE YELLOW,016000430549
301,10352,FRIENDLY PREM FRENCH VANILLA,029839005147
302,75141,BREYERS CHOCOLATE CHIP IC,077567254429
303,404044,BARILLA THIN SPAGHETTI #5,076808280098
304,447330,LIBBY'S PUMPKIN SOLID PACK,039000045049
305,152152,MAX HSE COLOMBIAN,043000029268
306,451264,BC DARK CHOC FUDGE BROWNIE,016000427303
307,87267,STOUFFERS DELUX PIZZA,013800151827
308,4969,STV TOP TURKEY STUFFING,043000285558
309,449378,DOMINO DARK BROWN POLY,049200057919
310,70234,BIRDSEYE BROC AND CHEESESAUC,014500005892
311,433742,CAMPBELLS BEEF GRAVY,051000025500
312,261971,QUAKER EXP CUPS MPLE BRWN SGR,030000319581
313,439008,PROG HRTY PASTA/CHICK SOUP,041196910858
314,10274,HOOD CREAMY COFFEE ICE CREAM,044100239748
315,75158,BREYERS COFFEE ICE CREAM,077567254214
316,449382,DOMINO POLY BAGS CONF SUGAR,049200051757
317,419415,CAROLINA RICE,017400110000
318,406071,VINTAGE SELTZER CHERRY,072521049967
319,406141,VINTAGE SELTZER MAND ORNGE,072521049684
320,224472,BARILLA FARFALLE,076808501087
321,56635,HOOD HOODSIE CUPS,044100234774
322,433720,HNZ BROWN W/ONIONS,013000798105
323,27674,MARSHMALLOW FLUFF SMALL,052600112751
324,405450,PROG MINESTRONE SOUP,041196010121
325,62156,TUTTOROSSO TOMATO-CRSH W/BASIL,072940756002
326,463237,APPLE EVE CLEAR AP JC PLSTC,076301722125
327,74040,"PEPP FARM TURNOVERS, APPLE",051000075017
328,83763,CHR BOY COPPER SCRNG PAD 2PK,811435002152
329,403035,PARMALAT WHT WHOLE MILK,024321908104
330,2055,GM HONEY NUT CHEERIOS,016000275270
331,47085,BARILLA ELBOWS,076808516135
332,71956,BANQUET DINNER SALISBURY S,031000109059
333,405459,PROG HOMESTYLE CHICK SOUP,041196011210
334,438984,PROG WHTE MEAT HRTY CHK ROTINI,041196911169
335,404841,VINTAGE TONIC 1LTR,072521049660
336,489712,QNBT ULTRA PLSH 12 DBL RL,042000871259
337,406257,DEER PARK SPRING WTR 1 GAL,082657500607
338,73552,LENDERS   PLAIN BAGELS,076800000113
339,404539,RAGU CLASSIC ALFREDO,036200013694
340,73248,CELESTE VEG PIZZA,019600045007
341,49386,DOMINO GRANULATED SUGAR 1 LB,049200042014
342,492827,ENFAMIL GENTLEASE POWDER,300875100691
343,428143,DIET LEMON ICED TEA,613008721848
344,484080,DH CLSSC VAN FSTG,644209004386
345,406120,VINTAGE RASP SELTZER,072521049769
346,433446,HEINZ EASY SQUEEZE KETCHUP 20Z,013000006408
347,461073,RP FANCY TOM PUREE 1.045 28OZ,072940745013
348,456114,HUNTS TOMATO PASTE,027000388150
349,49953,GOLD MEDAL UNBLEACHED FLOUR,016000196100
350,456484,COS SLD WHITE IN WATER,048000000958
351,459442,GMC NANTUCKET BLND KCUP,099555086638
352,439757,SWANSON CKICKEN BROTH,051000024312
353,438972,PROG MAC & BEAN SOUP,041196010619
354,433724,HNZ MUSHROOM GRAVY-7983,013000798303
355,75166,BREYERS STRAWBERRY IC,077567254344
356,61273,GRN GNT KIT SLC GREEN BEANS,020000111674
357,24484,COS SLD WHITE IN WATER,048000000958
358,492133,CAPN CRUNCH CRUNCHBERRIES 13OZ,030000065679
359,469978,HEINZ KETCHUP,013000001243
360,452302,PROG ITAL BRD CRMB89102,041196891027
361,72799,STOUFFERS MAC N CHEESE,013800103420
362,483132,SCOTT BATH TISSUE 6PK WH,054000200151
363,402500,LUCKY CHARMS 11.5OZ,016000275348
364,433689,FRANKS REDHOT SAUCE 12 OZ.,041500805023
365,499564,CAMP PORK N BEANS,051000112859
366,405080,RAGU TRADITION.,036200014011
367,85268,STOUFFERS CHEESE PIZZA,013800151704
368,422521,XTR LQ 2X SPK FSH W/BLCH,094514419618
369,38520,GRN MTN BRKFST BLND KCUP,099555085204
370,75150,BREYERS BUTTER PECAN IC,077567254405
371,51616,JIFFY CORN MUFFIN,072486002205
372,436717,BRAWNY 6BR WHT PAS 102CT,042000445177
373,470275,BB CHNK LIGHT TUNA-OIL,086600000213
374,487185,XTR LQ 2X BONUS MTN RN,094514419656
375,491224,QUAKER LIFE REGULAR 13OZ,030000063545
376,17004,PLLSBRY ALL PURPOSE FLOUR,051500204412
377,439022,CAMP CHICKEN NOODLE SOUP-1251,051000012517
378,404626,PRINCE CURLY LASAGNA #14,041129020609
379,406284,RIENZI WH KIDNEY BEANS,075717952171
380,13003,TURK HIL RUM RAISIN IC CREAM,020735111024
381,483603,FG 12CT GR GS LVLY CLMB KCUP,025500200408
382,438980,PROG CHICKEN BARLEY SOUP,041196910643
383,450927,RIENZI CHICK PEAS,075717952188
384,234793,JIF CRMY PEANUT BTTR,051500255162
385,10353,FRIENDLY PREM V/C/S,029839007301
386,39002,CAMP TOMATO SOUP-0011,051000000118
387,73697,PEPP FARM GARLIC TOAST,051000127679
388,80574,KITCHEN BASICS VEGET STOCK,611443340211
389,493370,CLRX LQ BLCH REG CONC,044600307701
390,75064,KTCHN BSCS TURKEY STOCK,611443340266
391,456902,ENFAMIL PREMIUM CONCENTRATE,300871367418
392,7616,DD COFFEE GRND ORIGINAL BLEND,881334000467
393,407750,PILLS CHOCCHIP QK SWRLBREAD,051500730805
394,404998,RAGU OLD/WRLD MTLESS 250,036200002506
395,455942,BC RTS FRSTNG VANILLA,016000458307
396,498377,RIENZI RED KIDNEY BEANS,075717952164
397,39086,CAMP CRM OF MUSHRM SOUP-1261,051000012616
398,480656,AJAX DISH LQ LEMON,035000446244
399,51264,BC DARK CHOC FUDGE BROWNIE,016000427303
400,29623,PRINGLES - ORIGINAL,038000844966
401,60005,ORE IDA EXTRA CRISPY EASY FRIE,013120012518
402,34857,COOL WHIP SUGAR FREE,043000010846
403,433447,HEINZ EASY SQUEEZE KETCHUP 32Z,013000006057
404,29624,PRINGLES - SOUR CREAM & ONION,038000845000
405,457750,SM HCM ENV MILK W/MM,070920474502
406,21548,FRIENDLY CHOCOLATE IC,029839006885
407,493766,EIGHT O'CLOCK KCUP DARK ITAL,099555082081
408,10271,HOOD PATCHWORK ICE CREAM,044100231902
409,493365,FOLGER CAF CAN CLASSIC ROAST,025500003658
410,424790,BNEFUL HLTHY WEIGHT DRY DG FD,017800134590
411,423226,CARN LOW FAT EVAP,050000159918
412,95225,AUNT JEMIMA BLUEBRRY WFFLS 10C,019600052203
413,66691,QNUSS BATH TISSUE 12 DBL ROLL,042000963657
414,440612,UB CONVERTED RICE,054800010028
415,49364,DOMINO 10X/CONFECT SUGAR,049200051009
416,439294,LPTN SOUP SCRT XTRA NDDLE,041000003011
417,9495,HELLMNN REAL MAYO,048001213388
418,405123,FR RNLDI TOM BASIL SPAG SC,077644826228
419,71678,HOT PKT MEATBLLS W/MOZZARL,043695071160
420,459440,GMC DARK MAGIC KCUP,099555080612
421,464518,LUCKY CHARMS 16.0OZ,016000275690
422,70267,ORE IDA STEAK FRIES,013120008009
423,461053,RP WHOLE PLD TOM IN PUREE,072940740032
424,49360,DOMINO LIGHT BROWN,049200056752
425,72484,SWANSON CHICKEN POT PIE,051000060327
426,424985,RONZONI BOW TIE PASTA,071300800669
427,4684,PRINCE SPAGHETTI #3,041129010037
428,4757,RONZONI ELBOWS #35,071300000359
429,410546,BERIO EXTRA VIRGIN OLIVE OIL,041736010284
430,463478,OS CRANAPPLE FLEX PLASTIC,031200210074
431,439511,COLLEGE INN BEEF BROTH,024000323204
432,28291,TOTINO PIZZ RLS CHEESE 15CT,042800005809
433,31532,STRKST CHUNK WHITE-WTR,080000006714
434,71944,BANQUET PIE VEG W/BEEF,031000101022
435,56645,HOOD ICE CREAM BAR,044100237041
436,1538,MCK BROWN GRAVY MIX,052100098609
437,439002,CAMP TOMATO SOUP-0011,051000000118
438,414541,RONZONI MOSTRIGATI #86,071300000861
439,467393,KRAFT MAC/CHEESE,021000658831
440,242005,MAX HSE FRNCH RST,043000029244
441,84131,SCOTT BATH TISSUE WH 20PLT,054000150296
442,415255,RONZONI ELBOW TWISTS,071300000366
443,463432,OS CRANRASPBERRY FLEX PLASTIC,031200261076
444,427674,MARSHMALLOW FLUFF SMALL,052600112751
445,235172,BC POUCH PIZZA CRUST MIX-3020,016000302006
446,74072,PEPP FARM PUFF PASTRY SHEETS,051000078742
447,460847,LITTLE HUGS VARITY PACK,074806015001
448,74583,TH VAN CHOC STRAW IC,020735110072
449,448014,MORTON IODIZED SALT-1003,024600010030
450,464766,DOLE PINEAPPLE JUICE 6PK 947,038900009472
451,233219,OS 100% CRANBERRY 60Z,031200330147
452,70761,GIORGIO   MOZZARELLA STICKS,070475652400
453,3222,FRNDLY CHOC'N'VAN ICE CRM,029839007127
454,438985,PROG VEGETABLE SOUP,041196911138
455,498109,KELL CORN FLAKES,038000001208
456,463450,OS CRANGRAPE FLEX PLASTIC,031200220073
457,445168,CLRX BLCH LQ RG CONCNTRTE,044600307688
458,469762,BB SLD WHT TUNA-WTR,086600000053
459,431749,SM HCM ENV MILK CHOC,070920474496
460,66258,ORE IDA GOLDEN FRIES,013120002588
461,10279,HOOD COOKIES & CREAM IC,044100241406
462,38293,TOTINO PIZZ RLS COMBO 15CT,042800005861
463,437999,PROG TRKY NOODLE SOUP,041196910186
464,74821,COOL WHIP FREE TOPPING,043000002872
465,491803,LIB CHICKEN VIENNA SAUSAGE,039000086691
466,70252,ORE IDA FRENCH FRY CRISPER,013120010361
467,438697,XTR LQ 2X BONUS TROP,094514419601
468,156923,V8 LS-PET 46 FO 6 CA,051000121578
469,466945,YOO HOO 10-PK BRICK,072350000016
470,59460,BREYERS SNICKERS IC,077567265302
471,15184,ARIZONA SWEET TEA-DOT,613008719791
472,48014,MORTON IODIZED SALT-1003,024600010030
473,95401,FOLGER CAF CAN GOURMET SUPREME,025500004013
474,405030,ANNIE'S SHELLS & CHEDDAR,013562000043
475,463341,A&E APPLE JUICE 8PK,076301845046
476,282895,TGIF SML BFFLO WNGS 9 OZ,046704098448
477,32511,PREGO TRADITIONAL SAUCE,051000025111
478,404968,STV TOP CORNBREAD STUFFING,043000285329
479,70226,BIRDSEYE PEARL ONIONS,014500005755
480,45224,HRSHY SEMI-SWT CHC CHIP 1483,034000148301
481,433302,MARY KTCHN CORN BEEF HASH,037600196468
482,433736,CAMPBELLS CHICKEN GRAVY,051000025777
483,438987,PROG SPLIT PEA SOUP,041196010510
484,404025,BARILLA ANGEL HAIR/CAPL,076808501063
485,483144,SCOTT BATH TISSUE SING RL WH,054000200427
486,405913,BARILLA NO BOIL LASAGNA,076808515589
487,404028,BARILLA LINGUINI #13,076808280173
488,461273,GRN GNT KIT SLC GREEN BEANS,020000111674
489,3194,FRIENDLY BTTR PECAN IC,029839007615
490,465943,DOLE 4PK DICE PCHES 100%JC,038900029708
491,439223,MARUCHN INST LNCH-RST CHCKN,041789001574
