Item UPC,Top 500,Image Count,ID,UPC,GS1 View,Image 1 Mime Type,Image 1 Date Added,Image 1 Source,Image 1 Description,Image 1 Path,Image 2 Mime Type,Image 2 Date Added,Image 2 Source,Image 2 Description,Image 2 Path,Image 3 Mime Type,Image 3 Date Added,Image 3 Source,Image 3 Description,Image 3 Path,Image 4 Mime Type,Image 4 Date Added,Image 4 Source,Image 4 Description,Image 4 Path,Image 5 Mime Type,Image 5 Date Added,Image 5 Source,Image 5 Description,Image 5 Path,Image 6 Mime Type,Image 6 Date Added,Image 6 Source,Image 6 Description,Image 6 Path,Image 7 Mime Type,Image 7 Date Added,Image 7 Source,Image 7 Description,Image 7 Path,Image 8 Mime Type,Image 8 Date Added,Image 8 Source,Image 8 Description,Image 8 Path,Image 9 Mime Type,Image 9 Date Added,Image 9 Source,Image 9 Description,Image 9 Path
072940756002,3,1,106724,00072940756002,A8C1,image/png,07/22/2013,ITEMMASTER,Planogram Right,http://media.itemmaster.com:80////0/0/0/299/73417be3-14a2-4c0f-8fa2-cf5b9a1db992.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940756002,3,1,106724,00072940756002,A9C1,image/png,07/22/2013,ITEMMASTER,Planogram Bottom,http://media.itemmaster.com:80////0/0/0/299/7e63ac5f-bf23-4651-8fb5-0ff92b45775c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940756002,3,9,106724,00072940756002,A1R1,image/tiff,07/22/2013,ITEMMASTER,Advertising Front Side Right Angle,http://media.itemmaster.com:80////0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.tif,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.jpg?originalFormat=tif&size=50x50,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.png?originalFormat=tif&size=50x50,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.jpg?originalFormat=tif&size=150x150,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.png?originalFormat=tif&size=150x150,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.jpg?originalFormat=tif&size=200x200,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.png?originalFormat=tif&size=200x200,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.jpg?originalFormat=tif&size=600x600,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/299/542bbad5-aae7-46e8-b235-4d13d3c76b5e.png?originalFormat=tif&size=600x600
072940756002,3,9,106724,00072940756002,A1L1,image/tiff,07/22/2013,ITEMMASTER,Advertising Front Side Left Angle,http://media.itemmaster.com:80////0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.tif,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.jpg?originalFormat=tif&size=50x50,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.png?originalFormat=tif&size=50x50,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.jpg?originalFormat=tif&size=150x150,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.png?originalFormat=tif&size=150x150,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.jpg?originalFormat=tif&size=200x200,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.png?originalFormat=tif&size=200x200,image/jpeg,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.jpg?originalFormat=tif&size=600x600,image/png,07/22/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/299/5b8b2121-102d-430d-be0a-296c0ebd3ac8.png?originalFormat=tif&size=600x600
300871365421,5,1,131127,00300871365421,A1C1,image/png,01/07/2014,ITEMMASTER,Planogram Front,http://media.itemmaster.com:80////0/0/0/228/340ba155-161d-4ee0-b9f7-c9687eadcea1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300871365421,5,1,131127,00300871365421,A2C1,image/png,01/07/2014,ITEMMASTER,Planogram Left,http://media.itemmaster.com:80////0/0/0/228/283c3d55-f2e9-431d-a5dd-7691daf5081f.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300871365421,5,1,131127,00300871365421,A3C1,image/png,01/07/2014,ITEMMASTER,Planogram Top,http://media.itemmaster.com:80////0/0/0/228/1ed9489a-0db9-4501-8df8-964b1569fc77.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300871365421,5,1,131127,00300871365421,A7C1,image/png,01/07/2014,ITEMMASTER,Planogram Back,http://media.itemmaster.com:80////0/0/0/228/2ab5e91c-a0d2-406c-be44-9d69473d1e2a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300871365421,5,1,131127,00300871365421,A8C1,image/png,01/07/2014,ITEMMASTER,Planogram Right,http://media.itemmaster.com:80////0/0/0/228/ad965ae5-491c-4283-8b76-63be91c88308.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300871365421,5,1,131127,00300871365421,A9C1,image/png,01/07/2014,ITEMMASTER,Planogram Bottom,http://media.itemmaster.com:80////0/0/0/228/9e83efb5-82e9-4cd0-8f6e-7ae480570a44.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
